id,item_group_id,variant_names,title,description,link,image_link,price,availability,variant_value,condition,google_product_category,product_type,additional image,sale_price,brand,gender,age_group,size,size type,shipping,custom_label_0,adwords_redirect
1001,,,Chocolate Lovers Gift Basket,"Chocolate Lovers Gift Basket from Lancaster PA offers the most delicious fudge, whoopie pies, chocolate peanut butter crackers, Nonpareils and more delivered anywhere in the USA",https://padutchbaskets.com/chocolate-lovers-gift-basket.html,https://padutchbaskets.com/images/chocolate-lovers-gift-basket.jpg,79.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets","
Event Planning > Gifts > Gift Basket",,,,,,,,US::Ground:15,,
1002,Basket of Treats,No Customization,"""Basket of Treats"" Unique Food Gifts","Our Basket of Treats Unique Food Gifts from Lancaster PA Dutch has a variety of Lancaster, PA Dutch favorites including whoopie pies, choice of apple, pecan, or shoo fly pie, Emma's popcorn, apple streusel, chocolate covered pretzels, fudge and chocolate pretzel rods",https://padutchbaskets.com/unique-food-gifts.html,https://padutchbaskets.com/images/basket-of-treats/unique-food-gifts.jpg,59.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets","
Event Planning > Gifts > Gift Basket",,,,,,,,US::Ground:15,,
1003,Basket of Treats,Custom Birthday,Birthday Gift Basket,"We are happy to offer our Birthday Gift Basket that is customized and offers many of the Lancaster PA Dutch favorites including apple pie, whoopie pies, fudge, Emma's popcorn, chocolate covered pretzels, apple streusel, chocolate covered pretzels and birthday customization.",https://padutchbaskets.com/birthday-gift-basket.html,https://padutchbaskets.com/images/basket-of-treats/birthday-gift-basket.jpg,59.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1004,Basket of Treats,Custom Get Well,Get Well Basket Ideas,"We are happy to offer our Birthday Gift Basket that is customized and offers many of the Lancaster PA Dutch favorites including apple pie, whoopie pies, fudge, Emma's popcorn, chocolate covered pretzels, apple streusel, chocolate covered pretzels and get well customization.",https://padutchbaskets.com/get-well-delivery.html,https://padutchbaskets.com/images/basket-of-treats/get-well-delivery.jpg,59.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1005,Basket of Treats,Congratulations,"""Basket of Treats"" Congratulations Food Basket","We are happy to offer our Birthday Gift Basket that is customized and offers many of the Lancaster PA Dutch favorites including apple pie, whoopie pies, fudge, Emma's popcorn, chocolate covered pretzels, apple streusel, chocolate covered pretzels and congratulations customization.",https://padutchbaskets.com/congratulations-gift-baskets.html,https://padutchbaskets.com/images/basket-of-treats/congratulations-food-basket.jpg,59.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1006,Basket of Treats,Thank You,"""Basket of Treats"" Thank You Gifts Delivered","We are happy to offer our Birthday Gift Basket that is customized and offers many of the Lancaster PA Dutch favorites including apple pie, whoopie pies, fudge, Emma's popcorn, chocolate covered pretzels, apple streusel, chocolate covered pretzels and thank you customization.",https://padutchbaskets.com/thank-you-gifts-delivered.html,https://padutchbaskets.com/images/basket-of-treats/thank-you-gifts-delivered.jpg,59.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1007,Lancaster Favorites,No Customization,Custom Gift Baskets,"Our Custom Gift Baskets offer many of the lancaster favorites including homemade jam, beef sticks, your choice of pie, apple streusel, strawberry danish, blueberry muffin, whoopie pie, blueberry holes, Emma's popcorn, chocolate pretzel rods, and delicious fudge",https://padutchbaskets.com/custom-gift-baskets.html,https://padutchbaskets.com/images/lancaster-favorites/custom-gift-baskets.jpg,79.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1008,Lancaster Favorites,Custom Birthday,Custom Birthday Gifts,"Our Custom Birthday Gifts offer many of the lancaster favorites including homemade jam, beef sticks, your choice of pie, apple streusel, strawberry danish, blueberry muffin, whoopie pie, blueberry holes, Emma's popcorn, chocolate pretzel rods, and delicious fudge",https://padutchbaskets.com/custom-birthday-gifts.html,https://padutchbaskets.com/images/lancaster-favorites/custom-birthday-gifts.jpg,79.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1009,Lancaster Favorites,Custom Get Well,Get Well Gift Basket,"Our Get Well Gift Basket offers many of the lancaster favorites including homemade jam, beef sticks, your choice of pie, apple streusel, strawberry danish, blueberry muffin, whoopie pie, blueberry holes, Emma's popcorn, chocolate pretzel rods, and delicious fudge",https://padutchbaskets.com/get-well-gift-basket.html,https://padutchbaskets.com/images/lancaster-favorites/get-well-basket-ideas.jpg,79.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1010,Lancaster Favorites,Custom Thank You,"""Lancaster"" Thank You Gifts to Send","Our ""Lancaster"" Thank You Gifts to Send offer many of the lancaster favorites including homemade jam, beef sticks, your choice of pie, apple streusel, strawberry danish, blueberry muffin, whoopie pie, blueberry holes, Emma's popcorn, chocolate pretzel rods, and delicious fudge",https://padutchbaskets.com/thank-you-gifts-to-send.html,https://padutchbaskets.com/images/lancaster-favorites/thank-you-gifts-to-send.jpg,79.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1011,Lancaster Favorites,Custom Anniversary,"""Lancaster Favorites"" Annivesary Gifts Ideas","Our ""Lancaster Favorites"" Anniversary Gifts Ideas offer many of the lancaster favorites including homemade jam, beef sticks, your choice of pie, apple streusel, strawberry danish, blueberry muffin, whoopie pie, blueberry holes, Emma's popcorn, chocolate pretzel rods, and delicious fudge",https://padutchbaskets.com/anniversary-gifts-ideas.html,https://padutchbaskets.com/images/lancaster-favorites/anniversary-gifts-ideas.jpg,79.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1012,Celebrations,No Customization,Celebrations Gift Basket,"Our Celebrations gift basket offers customization and includes chocolate lava cake, 2 whoopie pies, blueberry muffin, sticky bun, delicious fudge, and chocolate pretzel rods",https://padutchbaskets.com/celebrations-gift-basket.html,https://padutchbaskets.com/images/celebrations/celebrations-gift-basket.jpg,49.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1013,Celebrations,Custom Birthday,Birthday Basket,"Our Celebrations birthday basket offers customization and includes chocolate lava cake, 2 whoopie pies, blueberry muffin, sticky bun, delicious fudge, and chocolate pretzel rods",https://padutchbaskets.com/birthday-basket.html,https://padutchbaskets.com/images/birthday-basket/birthday-basket.jpg,49.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1014,Celebrations,Custom Sympathy,"""Bakers Special"" Sympathy Gift Baskets","Our ""Bakers Special"" Sympathy Gift baskets offers customization and includes chocolate lava cake, 2 whoopie pies, blueberry muffin, sticky bun, delicious fudge, and chocolate pretzel rods",https://padutchbaskets.com/sympathy-gift-baskets.html,https://padutchbaskets.com/images/bakers-special/sympathy-gift-baskets.jpg,49.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1015,Celebrations,Custom Get Well,Get Well Gifts,"Our get well gifts offers customization and includes chocolate lava cake, 2 whoopie pies, blueberry muffin, sticky bun, delicious fudge, and chocolate pretzel rods",https://padutchbaskets.com/get-well-basket-ideas.html,https://padutchbaskets.com/images/bakers-special/get-well-gifts.jpg,49.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
1016,Celebrations,Custom Congratulations,Congratulations Basket,"Our Congratulations basket offers customization and includes chocolate lava cake, 2 whoopie pies, blueberry muffin, sticky bun, delicious fudge, and chocolate pretzel rods",https://padutchbaskets.com/congratulations-basket.html,https://padutchbaskets.com/images/bakers-special/congratulations-basket.jpg,49.5,in stock,,new,"Food, Beverages & Tobacco > Food Items > Food Gift Baskets",Event Planning > Gifts > Gift Basket,,,,,,,,US::Ground:15,,
